review_id,visual_first_hop_correct,bridge_entity_uniquely_identifiable,text_second_hop_correct,text_second_hop_not_visually_represented,conditions_differ_in_exactly_one_target_relation,no_direct_image_text_conflict,joint_answer_unique,image_alone_not_uniquely_sufficient,evidence_alone_not_uniquely_sufficient,nl_triples_fact_equivalent,critical_error,reviewer_notes
CVR-005,,,,,,,,,,,,
CVR-079,,,,,,,,,,,,
CVR-073,,,,,,,,,,,,
CVR-029,,,,,,,,,,,,
CVR-071,,,,,,,,,,,,
CVR-072,,,,,,,,,,,,
CVR-017,,,,,,,,,,,,
CVR-015,,,,,,,,,,,,
CVR-075,,,,,,,,,,,,
CVR-030,,,,,,,,,,,,
CVR-035,,,,,,,,,,,,
CVR-019,,,,,,,,,,,,
CVR-049,,,,,,,,,,,,
CVR-023,,,,,,,,,,,,
CVR-020,,,,,,,,,,,,
CVR-054,,,,,,,,,,,,
CVR-039,,,,,,,,,,,,
CVR-031,,,,,,,,,,,,
CVR-047,,,,,,,,,,,,
CVR-033,,,,,,,,,,,,
CVR-063,,,,,,,,,,,,
CVR-021,,,,,,,,,,,,
CVR-070,,,,,,,,,,,,
CVR-042,,,,,,,,,,,,
CVR-061,,,,,,,,,,,,
CVR-034,,,,,,,,,,,,
CVR-045,,,,,,,,,,,,
CVR-038,,,,,,,,,,,,
CVR-037,,,,,,,,,,,,
CVR-057,,,,,,,,,,,,
CVR-008,,,,,,,,,,,,
CVR-028,,,,,,,,,,,,
CVR-011,,,,,,,,,,,,
CVR-025,,,,,,,,,,,,
CVR-036,,,,,,,,,,,,
CVR-074,,,,,,,,,,,,
CVR-069,,,,,,,,,,,,
CVR-012,,,,,,,,,,,,
CVR-050,,,,,,,,,,,,
CVR-022,,,,,,,,,,,,
CVR-041,,,,,,,,,,,,
CVR-002,,,,,,,,,,,,
CVR-078,,,,,,,,,,,,
CVR-051,,,,,,,,,,,,
CVR-006,,,,,,,,,,,,
CVR-027,,,,,,,,,,,,
CVR-076,,,,,,,,,,,,
CVR-040,,,,,,,,,,,,
CVR-059,,,,,,,,,,,,
CVR-044,,,,,,,,,,,,
CVR-043,,,,,,,,,,,,
CVR-014,,,,,,,,,,,,
CVR-058,,,,,,,,,,,,
CVR-009,,,,,,,,,,,,
CVR-056,,,,,,,,,,,,
CVR-007,,,,,,,,,,,,
CVR-018,,,,,,,,,,,,
CVR-048,,,,,,,,,,,,
CVR-065,,,,,,,,,,,,
CVR-052,,,,,,,,,,,,
CVR-010,,,,,,,,,,,,
CVR-046,,,,,,,,,,,,
CVR-024,,,,,,,,,,,,
CVR-055,,,,,,,,,,,,
CVR-062,,,,,,,,,,,,
CVR-077,,,,,,,,,,,,
CVR-003,,,,,,,,,,,,
CVR-064,,,,,,,,,,,,
CVR-001,,,,,,,,,,,,
CVR-004,,,,,,,,,,,,
CVR-026,,,,,,,,,,,,
CVR-032,,,,,,,,,,,,
CVR-080,,,,,,,,,,,,
CVR-067,,,,,,,,,,,,
CVR-066,,,,,,,,,,,,
CVR-016,,,,,,,,,,,,
CVR-060,,,,,,,,,,,,
CVR-068,,,,,,,,,,,,
CVR-013,,,,,,,,,,,,
CVR-053,,,,,,,,,,,,
