review_id,visual_first_hop_correct,bridge_entity_uniquely_identifiable,text_second_hop_correct,text_second_hop_not_visually_represented,conditions_differ_in_exactly_one_target_relation,no_direct_image_text_conflict,joint_answer_unique,image_alone_not_uniquely_sufficient,evidence_alone_not_uniquely_sufficient,nl_triples_fact_equivalent,critical_error,reviewer_notes
R1-NBBHF5,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,none
R1-D693BC,no,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,Displayed first-hop direction contradicts the visual claim; the proposed answers inherit that reversal.
R1-QMLP8W,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,none
R1-SMSL9R,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,none
R1-QAMVPG,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,none
R1-BU7X4L,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,none
R1-KYFTZY,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,none
R1-LH28FT,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,none
R1-VJK3YN,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,none
R1-QXMCTG,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,none
R1-L5B5PQ,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,none
R1-MPTTT3,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,none
R1-UMGFXV,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,none
R1-CSY4Y3,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,none
R1-769N84,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,none
R1-XFGKTU,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,none
R1-26M2JL,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,none
R1-RGUYMD,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,none
R1-VTJ3ZP,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,none
R1-VBTHG6,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,none
R1-2SDAKA,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,none
R1-YU866S,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,none
R1-V766CB,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,none
